,id,uri,song_name,artist_name,key,mode,danceability,energy,loudness,acousticness,speechiness,instrumentalness,liveness,tempo,valence,duration_ms,time_signature,popularity
0,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,2,1,0.714,0.472,-7.375,0.013,0.0864,4.51e-06,0.266,131.121,0.238,156943,4,100
1,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,4,1,0.637,0.643,-6.571,0.13,0.0519,1.8e-06,0.142,97.008,0.533,200690,4,97
2,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,7,1,0.78,0.689,-5.668,0.0368,0.141,9.69e-06,0.0698,115.042,0.642,225389,4,93
3,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,11,0,0.561,0.52,-9.342,0.0503,0.244,1.86e-06,0.355,153.15,0.424,239360,3,94
4,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,11,1,0.801,0.806,-5.206,0.382,0.0381,0.000669,0.114,106.999,0.802,239318,4,92
5,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,6,0,0.52,0.731,-5.338,0.342,0.0557,0.00101,0.311,173.93,0.662,167303,4,93
6,73vIOb4Q7YN6HeJTbscRx5,spotify:track:73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree,6,0,0.587,0.742,-6.64,0.0128,0.0529,0.00107,0.146,145.007,0.199,206000,4,93
7,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,7,0,0.561,0.965,-3.673,0.00383,0.0343,7.07e-06,0.371,128.04,0.304,175238,4,97
8,35ovElsgyAtQwYPYnZJECg,spotify:track:35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,9,1,0.247,0.299,-6.083,0.899,0.0315,0.0,0.131,177.115,0.172,196520,4,90
9,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,0,1,0.704,0.797,-5.927,0.0826,0.0475,0.000745,0.0546,139.994,0.825,148486,4,95
10,0QHEIqNKsMoOY5urbzN48u,spotify:track:0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,10,1,0.838,0.525,-3.562,0.345,0.0665,1.92e-06,0.0771,144.981,0.884,134256,4,90
11,5ww2BF9slyYgNOk37BlC4u,spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,7,0,0.835,0.679,-5.329,0.583,0.0364,1.98e-06,0.218,124.98,0.85,162638,4,97
12,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,9,0,0.733,0.69,-5.529,0.0635,0.0427,1.18e-06,0.105,116.992,0.31,184613,4,95
13,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),Post Malone,5,1,0.733,0.67,-6.009,0.121,0.0751,0.0,0.121,100.964,0.472,192841,4,89
14,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,10,1,0.733,0.436,-10.489,0.258,0.08,0.000573,0.157,96.985,0.0976,202396,4,92
15,5odlY52u43F5BjByhxg7wg,spotify:track:5odlY52u43F5BjByhxg7wg,golden hour,JVKE,4,1,0.515,0.593,-4.801,0.653,0.0322,0.162,0.25,94.467,0.153,209260,3,88
16,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,10,1,0.714,0.728,-4.595,0.298,0.0468,0.0,0.106,114.996,0.901,177955,4,90
17,34ZAzO78a5DAVNrYIGWcPm,spotify:track:34ZAzO78a5DAVNrYIGWcPm,Shirt,SZA,3,0,0.824,0.453,-9.604,0.146,0.0968,0.0273,0.0896,119.959,0.552,181831,4,89
18,38T0tPVZHcPZyhtOcCP7pF,spotify:track:38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2,0,0.637,0.715,-4.971,0.148,0.0455,0.0,0.0892,141.872,0.308,210576,4,90
19,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,5,0,0.65,0.715,-5.198,0.0993,0.253,0.000291,0.126,106.672,0.187,243717,4,95
20,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,2,1,0.95,0.891,-2.653,0.0645,0.241,1.77e-05,0.309,133.01,0.912,170977,4,88
21,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,Steve Lacy,1,1,0.686,0.507,-7.097,0.626,0.0357,7.51e-05,0.383,168.955,0.69,232115,4,90
22,5unjCay0kUjuej5ebn4nS4,spotify:track:5unjCay0kUjuej5ebn4nS4,Down In Atlanta,Pharrell Williams,7,1,0.851,0.819,-5.173,0.337,0.212,0.000153,0.0658,83.154,0.903,164041,3,71
23,0hquQWY3xvYqN4qtiquniF,spotify:track:0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,8,0,0.801,0.601,-7.574,0.0777,0.255,3.23e-05,0.145,159.969,0.74,182907,4,87
24,76OGwb5RA9h4FxQPT33ekc,spotify:track:76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,0,1,0.565,0.636,-8.198,0.107,0.0638,9.9e-06,0.447,170.01,0.525,179551,4,92
25,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,4,0,0.369,0.192,-12.151,0.555,0.04,8.35e-06,0.0954,175.212,0.148,228013,3,88
26,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,5,0,0.773,0.742,-3.678,0.0206,0.046,0.0,0.0754,114.071,0.571,165265,4,88
27,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,10,0,0.836,0.743,-6.305,0.0995,0.0656,0.0,0.335,108.966,0.722,191822,4,86
28,26hOm7dTtBi0TdpDGl141t,spotify:track:26hOm7dTtBi0TdpDGl141t,Die For You,Joji,8,1,0.472,0.518,-7.379,0.383,0.051,0.127,0.289,147.805,0.154,211667,4,89
29,18zQTt3ifDv6iLni2YuXMg,spotify:track:18zQTt3ifDv6iLni2YuXMg,Born Again,Rihanna,0,0,0.465,0.26,-8.179,0.475,0.031,0.0,0.138,116.642,0.259,213333,4,78
30,6G12ZafqofSq7YtrMqUm76,spotify:track:6G12ZafqofSq7YtrMqUm76,Monotonía,Shakira,0,0,0.873,0.695,-4.207,0.419,0.0459,1.23e-06,0.211,131.963,0.823,158805,4,92
31,0mBP9X2gPCuapvpZ7TGDk3,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2,1,0.881,0.592,-4.898,0.619,0.0324,1.32e-05,0.0901,101.058,0.719,154487,4,88
32,0XER3HPMx223xWaAgNKp4Y,spotify:track:0XER3HPMx223xWaAgNKp4Y,My Mind & Me,Selena Gomez,9,1,0.6,0.389,-5.727,0.566,0.0337,0.0,0.0826,143.577,0.244,147597,4,84
33,39JofJHEtg8I4fSyo7Imft,spotify:track:39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,0,1,0.736,0.906,-7.589,0.164,0.048,0.585,0.106,137.001,0.698,226627,4,87
34,2TktkzfozZifbQhXjT6I33,spotify:track:2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,9,1,0.697,0.336,-10.395,0.598,0.0424,0.00528,0.107,82.029,0.31,216680,3,87
35,1Ame8XTX6QHY0l0ahqUhgv,spotify:track:1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,Måneskin,2,1,0.519,0.595,-5.001,0.00151,0.0283,0.0,0.0762,129.786,0.237,247067,4,86
36,37vVp2sWHuuIBOSl1NswP6,spotify:track:37vVp2sWHuuIBOSl1NswP6,i'm yours,Isabel LaRosa,5,0,0.398,0.705,-7.07,0.204,0.0756,5.13e-05,0.443,111.487,0.635,145668,4,82
37,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,11,1,0.486,0.545,-7.924,0.0652,0.0336,0.00474,0.0642,150.187,0.0385,123891,4,87
38,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,1,1,0.463,0.642,-4.474,0.314,0.34,0.0,0.0686,83.389,0.339,189893,4,88
39,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,1,1,0.591,0.764,-5.484,0.0383,0.0483,0.0,0.103,169.928,0.478,141806,4,87
40,2tTmW7RDtMQtBk7m2rYeSw,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2,1,0.621,0.782,-5.548,0.0125,0.044,0.033,0.23,128.033,0.55,198938,4,97
41,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,6,1,0.571,0.544,-10.613,0.453,0.0299,0.00805,0.322,132.052,0.216,132631,4,93
42,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,10,1,0.539,0.508,-6.05,0.727,0.0288,0.0,0.174,101.358,0.227,177720,3,88
43,72yP0DUlWPyH8P7IoxskwN,spotify:track:72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,Elton John,0,1,0.667,0.75,-4.602,0.0746,0.0906,0.000198,0.197,126.041,0.486,202246,4,87
44,5ildQOEKmJuWGl2vRkFdYc,spotify:track:5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,ROSALÍA,7,1,0.919,0.623,-6.521,0.184,0.0992,1.63e-05,0.0609,130.037,0.775,157018,4,91
45,5hnGrTBaEsdukpDF6aZg8a,spotify:track:5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,8,1,0.4,0.641,-6.303,0.214,0.0674,0.0,0.0656,81.552,0.393,163603,4,87
46,5uSFGgIfHMT3osrAd9n9ym,spotify:track:5uSFGgIfHMT3osrAd9n9ym,Forget Me,Lewis Capaldi,1,0,0.669,0.742,-3.518,0.296,0.0441,0.0,0.355,101.982,0.716,203472,4,87
47,2rmwqU7yzTvzkiaRV53DpT,spotify:track:2rmwqU7yzTvzkiaRV53DpT,2 Be Loved (Am I Ready),Lizzo,7,1,0.721,0.769,-4.111,0.0922,0.105,0.0,0.0817,155.932,0.915,187108,4,83
48,0ARKW62l9uWIDYMZTUmJHF,spotify:track:0ARKW62l9uWIDYMZTUmJHF,Shut Down,BLACKPINK,0,1,0.82,0.686,-5.102,0.00412,0.038,0.0,0.184,110.058,0.668,175889,3,84
49,3LtpKP5abr2qqjunvjlX5i,spotify:track:3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,6,1,0.911,0.573,-7.43,0.38,0.288,0.0,0.403,140.04,0.972,97393,4,89
50,5B40Td13cDQ4adeAiLf8Z4,spotify:track:5B40Td13cDQ4adeAiLf8Z4,Twin (feat. Lil Durk),Roddy Ricch,11,0,0.785,0.609,-8.623,0.031,0.186,5.47e-05,0.096,83.962,0.326,148855,4,65
51,4ZevD501qZiFK7FY8DFn0V,spotify:track:4ZevD501qZiFK7FY8DFn0V,Do It Right,Don Toliver,5,1,0.662,0.515,-6.867,0.458,0.199,0.0,0.163,69.808,0.386,174474,4,61
52,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,11,0,0.561,0.52,-9.342,0.0503,0.244,1.86e-06,0.355,153.15,0.424,239360,3,94
53,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,11,1,0.486,0.545,-7.924,0.0652,0.0336,0.00474,0.0642,150.187,0.0385,123891,4,87
54,6ug9fUi5oLLgQgOF1G8WkM,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,California Breeze,Lil Baby,5,0,0.738,0.666,-6.97,0.00361,0.455,0.0,0.107,161.734,0.215,177789,4,82
55,4wRJHXHDJnKSPr9IVn0BFR,spotify:track:4wRJHXHDJnKSPr9IVn0BFR,To The Bone (feat. YoungBoy Never Broke Again),Quavo,11,0,0.899,0.582,-7.275,0.0395,0.264,0.0,0.1,149.973,0.505,283196,4,79
